Name	Type	Location	Value
 %1238	float	%1238	-0.713761747 (3208034583)
 %1239	float	%1239	2.89860487 (1077510846)
 %1240	float	%1240	-0.636215448 (3206733572)
 %1241	float	%1241	-0.346934676 (3199312236)
 %1242	float	%1242	1.65183663 (1070821218)
 %1243	float	%1243	2.75923634 (1076926292)
 %1244	integer	%1244	1 (1)
 %1245	integer	%1245	0 (0)
 %1439	float	%1439	0.341359437 (1051641514)
 %1440	float	%1440	1.69693315 (1071199515)
 %1441	float	%1441	0.530984521 (1057484442)
 %1442	float	%1442	-0.343313068 (3199190715)
 %1443	float	%1443	-1.75759709 (3219192049)
 %1444	float	%1444	0.427023530 (1054515924)
 %1445	float	%1445	-0.713761747 (3208034583)
 %1446	float	%1446	2.89860487 (1077510846)
 %1447	float	%1447	-0.636215448 (3206733572)
 %1448	float	%1448	-0.346934676 (3199312236)
 %1449	float	%1449	1.65183663 (1070821218)
 %1450	float	%1450	2.75923634 (1076926292)
 %1451	float	%1451	0.407714844 (1053868032)
 %1452	float	%1452	-0.0948486328 (3183624192)
 %1453	float	%1453	-0.908203125 (3211296768)
 %1454	float	%1454	0.139177307 (1041138815)
 %1455	float	%1455	-0.0217744820 (3165806694)
 %1456	float	%1456	-0.504016280 (3204515638)
 %1457	float	%1457	-0.716598451 (3208082175)
 %1458	float	%1458	-0.757101059 (3208761696)
 %1459	float	%1459	-0.108860411 (3185504821)
 %1460	float	%1460	-0.259394497 (3196374875)
 %1461	float	%1461	-0.226488218 (3194481799)
 %1462	float	%1462	-1.72669137 (3218932793)
 %1463	float	%1463	3.24734616 (1078973573)
 %1464	float	%1464	0.554926753 (1057886126)
 %1465	float	%1465	-0.279692113 (3197055950)
 %1466	float	%1466	-0.0604095533 (3178721282)
 %1467	float	%1467	-0.958187222 (3212135362)
 %1468	float	%1468	-0.279785156 (3197059072)
 %1469	float	%1469	-0.0604248047 (3178725376)
 %1470	float	%1470	-0.958007812 (3212132352)
 %1471	float	%1471	-0.0107498169 (3157270528)
 %1472	float	%1472	0.994140625 (1065254912)
 %1473	float	%1473	-0.107604980 (3185336320)
 %1474	float	%1474	-0.00366955134 (3144711387)
 %1475	float	%1475	1.68332064 (1071085325)
 %1476	float	%1476	1.62618411 (1070606029)
 %1477	float	%1477	0.0188938472 (1016776517)
 %1478	float	%1478	0.443415284 (1055065940)
 %1479	float	%1479	0.520219624 (1057303837)
 %1480	float	%1480	0.00683919946 (1004542813)
 %1481	float	%1481	-0.338062644 (3199014540)
 %1482	float	%1482	-0.515808463 (3204713478)
 %1483	float	%1483	3.18116164 (1078695975)
 %1484	float	%1484	0.560669720 (1057982477)
 %1485	float	%1485	0.911752164 (1063872663)
 %1486	float	%1486	0.291671395 (1049974260)
 %1487	float	%1487	-0.289198190 (3197374921)
 %1488	float	%1488	0.911621094 (1063870464)
 %1489	float	%1489	0.291748047 (1049976832)
 %1490	float	%1490	-0.289306641 (3197378560)
 %1491	float	%1491	1.12720466 (1066420286)
 %1492	float	%1492	4.09921169 (1082338494)
 %1493	float	%1493	3.84795499 (1081492709)
 %1494	float	%1494	3.50464201 (1080052750)
 %1495	float	%1495	-5.80377007 (3233396860)
 %1496	float	%1496	-5.05588150 (3231828424)
 %1497	float	%1497	-4.71813631 (3231120121)
 %1498	float	%1498	-1.81953144 (3219711592)
 %1499	float	%1499	-2.10085011 (3221648468)
 %1500	float	%1500	-2.70847106 (3224197015)
 %1501	float	%1501	-3.49010372 (3227475420)
 %1502	float	%1502	-0.730867386 (3208321568)
 %1505	integer	%1505	1114258 (1114258)
 %1506	integer	%1506	1114258 (1114258)
 %1507	integer	%1507	128 (128)
 %1508	integer	%1508	0 (0)
 %1510	integer	%1510	15 (15)
 %1511	float	%1511	15.0000000 (1097859072)
 %1512	float	%1512	1.00000000 (1065353216)
 %1518	float	%1518	1.00000000 (1065353216)
 %1521	float	%1521	0.00000000 (0)
 %1522	float	%1522	0.00000000 (0)
 %1523	float	%1523	1.00000000 (1065353216)
 %1524	float	%1524	1.00000000 (1065353216)
 %1525	float	%1525	1.00000000 (1065353216)
 %1526	integer	%1526	0 (0)
 %1533	integer	%1533	0 (0)
 %1534	integer	%1534	0 (0)
 %1535	float	%1535	0.509765625 (1057128448)
 %1536	float	%1536	0.372558594 (1052688384)
 %1537	float	%1537	0.0705566406 (1032880128)
 %1538	float	%1538	0.0352783203 (1024491520)
 %1539	float	%1539	0.00784301758 (1006665728)
 %1540	float	%1540	0.00000000 (0)
 %1541	float	%1541	0.00000000 (0)
 %1542	float	%1542	0.00000000 (0)
 %1545	integer	%1545	24 (24)
 %1546	integer	%1546	24 (24)
 %1549	integer	%1549	11266 (11266)
 %1550	integer	%1550	11266 (11266)
 %1553	integer	%1553	17957138 (17957138)
 %1554	integer	%1554	17957138 (17957138)
 %1555	integer	%1555	274 (274)
 %1558	integer	%1558	2031647 (2031647)
 %1559	integer	%1559	2031647 (2031647)
 %1562	integer	%1562	589834 (589834)
 %1563	integer	%1563	589834 (589834)
