Name	Type	Location	Value
 %551	float	%551	-0.345547676
 %552	float	%552	1.64523280
 %553	float	%553	2.74820542
 %554	float	%554	0.00000000
 %555	float	%555	0.00000000
 %556	integer	%556	0 (0.00000000)
 %557	integer	%557	11266 (1.57870285e-41)
 %560	integer	%560	103 (1.44333742e-43)
 %561	integer	%561	2129 (2.98336443e-42)
 %564	integer	%564	103 (1.44333742e-43)
 %565	integer	%565	2819 (3.95026037e-42)
 %568	float	%568	0.777397990
 %569	float	%569	-1.26837301
 %570	float	%570	-1.01335251
 %571	float	%571	0.00000000
 %573	float	%573	0.641078115
 %574	float	%574	1.27206922
 %575	float	%575	-1.10039127
 %576	float	%576	0.00000000
 %578	float	%578	1.49153364
 %579	float	%579	0.114335358
 %580	float	%580	1.00112748
 %582	float	%582	1.32250786
 %583	float	%583	0.838395357
 %584	float	%584	1.74153662
 %585	float	%585	0.00000000
 %586	float	%586	0.339994729
 %587	float	%587	-1.75057054
 %588	float	%588	-0.633671939
 %589	float	%589	0.00000000
 %590	float	%590	1.69014907
 %591	float	%591	0.425316364
 %592	float	%592	-0.345547676
 %593	float	%593	0.00000000
 %594	float	%594	0.528861701
 %595	float	%595	-0.710908234
 %596	float	%596	1.64523280
 %597	float	%597	-0.341940552
 %598	float	%598	2.88701677
 %599	float	%599	2.74820542
 %600	float	%600	0.996002197
 %601	integer	%601	2 (2.80259693e-45)
 %602	integer	%602	1 (1.40129846e-45)
 %604	integer	%604	1 (1.40129846e-45)
 %606	integer	%606	0 (0.00000000)
 %608	float	%608	0.00000000
 %611	float	%611	0.996002197
 %612	float	%612	0.339994729
 %613	float	%613	1.69014907
 %614	float	%614	0.528861701
 %615	float	%615	-0.341940552
 %616	float	%616	-1.75057054
 %617	float	%617	0.425316364
 %618	float	%618	-0.710908234
 %619	float	%619	2.88701677
 %620	float	%620	-0.633671939
 %621	float	%621	-0.345547676
 %622	float	%622	1.64523280
 %623	float	%623	2.74820542
 %624	float	%624	0.00000000
 %625	float	%625	0.00000000
 %626	float	%626	0.996002197
 %627	float	%627	0.341359437
 %628	float	%628	-1.75759709
 %629	float	%629	-0.636215448
 %630	float	%630	0.00000000
 %631	float	%631	1.69693315
 %632	float	%632	0.427023530
 %633	float	%633	-0.346934676
 %634	float	%634	0.00000000
 %635	float	%635	0.530984521
 %636	float	%636	-0.713761747
 %637	float	%637	1.65183663
 %638	float	%638	-0.343313068
 %639	float	%639	2.89860487
 %640	float	%640	2.75923634
 %641	integer	%641	0 (0.00000000)
 %642	float	%642	0.00000000
 %643	float	%643	0.00000000
 %644	float	%644	0.00000000
 %645	integer	%645	1 (1.40129846e-45)
 %646	integer	%646	1 (1.40129846e-45)
 %647	integer	%647	0 (0.00000000)
 %648	integer	%648	0 (0.00000000)
 %1232	float	%1232	0.341359437
 %1233	float	%1233	1.69693315
 %1234	float	%1234	0.530984521
 %1235	float	%1235	-0.343313068
 %1236	float	%1236	-1.75759709
 %1237	float	%1237	0.427023530
 %1238	float	%1238	-0.713761747
 %1239	float	%1239	2.89860487
 %1240	float	%1240	-0.636215448
 %1241	float	%1241	-0.346934676
 %1242	float	%1242	1.65183663
 %1243	float	%1243	2.75923634
 %1244	integer	%1244	1 (1.40129846e-45)
 %1245	integer	%1245	0 (0.00000000)
 %1439	float	%1439	0.341359437
 %1440	float	%1440	1.69693315
 %1441	float	%1441	0.530984521
 %1442	float	%1442	-0.343313068
 %1443	float	%1443	-1.75759709
 %1444	float	%1444	0.427023530
 %1445	float	%1445	-0.713761747
 %1446	float	%1446	2.89860487
 %1447	float	%1447	-0.636215448
 %1448	float	%1448	-0.346934676
 %1449	float	%1449	1.65183663
 %1450	float	%1450	2.75923634
 %1451	float	%1451	0.407714844
 %1452	float	%1452	-0.0948486328
 %1453	float	%1453	-0.908203125
 %1454	float	%1454	0.139177307
 %1455	float	%1455	-0.0217744820
 %1456	float	%1456	-0.504016280
 %1457	float	%1457	-0.716598451
 %1458	float	%1458	-0.757101059
 %1459	float	%1459	-0.108860411
 %1460	float	%1460	-0.259394497
 %1461	float	%1461	-0.226488218
 %1462	float	%1462	-1.72669137
 %1463	float	%1463	3.24734616
 %1464	float	%1464	0.554926753
 %1465	float	%1465	-0.279692113
 %1466	float	%1466	-0.0604095533
 %1467	float	%1467	-0.958187222
 %1468	float	%1468	-0.279785156
 %1469	float	%1469	-0.0604248047
 %1470	float	%1470	-0.958007812
 %1471	float	%1471	-0.0107498169
 %1472	float	%1472	0.994140625
 %1473	float	%1473	-0.107604980
 %1474	float	%1474	-0.00366955134
 %1475	float	%1475	1.68332064
 %1476	float	%1476	1.62618411
 %1477	float	%1477	0.0188938472
 %1478	float	%1478	0.443415284
 %1479	float	%1479	0.520219624
 %1480	float	%1480	0.00683919946
 %1481	float	%1481	-0.338062644
 %1482	float	%1482	-0.515808463
 %1483	float	%1483	3.18116164
 %1484	float	%1484	0.560669720
