Event	Queue	Global ID	Resource ID	Name	Binding	Read/Write	States
	Compute Queue 0	459	18824		CS SRV [0, space=16]	Read	STATE_COMMON
	Compute Queue 0	459	18824		CS SRV [0, space=17]	Read	STATE_COMMON
	Compute Queue 0	459	18824		CS SRV [0, space=18]	Read	STATE_COMMON
	Compute Queue 0	459	18824		CS SRV [0, space=19]	Read	STATE_COMMON
	Compute Queue 0	459	18824		CS SRV [0, space=20]	Read	STATE_COMMON
	Compute Queue 0	459	18824		CS SRV [0, space=22]	Read	STATE_COMMON
	Compute Queue 0	459	18824		CS SRV [0, space=23]	Read	STATE_COMMON
	Compute Queue 0	459	20651		CS UAV [0, space=24]	Read/Write	STATE_COMMON
	Compute Queue 0	459	20651		CS UAV [0, space=25]	Read/Write	STATE_COMMON
	Compute Queue 0	459	20651		CS UAV [0, space=27]	Read/Write	STATE_COMMON
	Compute Queue 0	461	18824		CS SRV [0, space=14]	Read	STATE_COMMON
	Compute Queue 0	461	18824		CS SRV [0, space=16]	Read	STATE_COMMON
	Compute Queue 0	461	18824		CS SRV [0, space=17]	Read	STATE_COMMON
	Compute Queue 0	461	18824		CS SRV [0, space=18]	Read	STATE_COMMON
	Compute Queue 0	461	18824		CS SRV [0, space=19]	Read	STATE_COMMON
	Compute Queue 0	461	18824		CS SRV [0, space=23]	Read	STATE_COMMON
	Compute Queue 0	461	20651		CS UAV [0, space=24]	Read/Write	STATE_COMMON
	Compute Queue 0	461	20651		CS UAV [0, space=25]	Read/Write	STATE_COMMON
	Compute Queue 0	463	18824		CS SRV [0, space=14]	Read	STATE_COMMON
	Compute Queue 0	463	18824		CS SRV [0, space=17]	Read	STATE_COMMON
	Compute Queue 0	463	18824		CS SRV [0, space=18]	Read	STATE_COMMON
	Compute Queue 0	463	18824		CS SRV [0, space=19]	Read	STATE_COMMON
	Compute Queue 0	463	18824		CS SRV [0, space=23]	Read	STATE_COMMON
	Compute Queue 0	463	20651		CS UAV [0, space=24]	Read/Write	STATE_COMMON
	Compute Queue 0	463	20651		CS UAV [0, space=27]	Read/Write	STATE_COMMON
	Compute Queue 0	464	18824		CS SRV [0, space=14]	Read	STATE_COMMON
	Compute Queue 0	464	18824		CS SRV [0, space=17]	Read	STATE_COMMON
	Compute Queue 0	464	18824		CS SRV [0, space=18]	Read	STATE_COMMON
	Compute Queue 0	464	18824		CS SRV [0, space=19]	Read	STATE_COMMON
	Compute Queue 0	464	18824		CS SRV [0, space=23]	Read	STATE_COMMON
	Compute Queue 0	464	20651		CS UAV [0, space=24]	Read/Write	STATE_COMMON
	Compute Queue 0	464	20651		CS UAV [0, space=27]	Read/Write	STATE_COMMON
	Compute Queue 0	466	18824		CS SRV [0, space=14]	Read	STATE_COMMON
	Compute Queue 0	466	18824		CS SRV [0, space=15]	Read	STATE_COMMON
	Compute Queue 0	466	18824		CS SRV [0, space=17]	Read	STATE_COMMON
	Compute Queue 0	466	18824		CS SRV [0, space=18]	Read	STATE_COMMON
	Compute Queue 0	466	18824		CS SRV [0, space=19]	Read	STATE_COMMON
	Compute Queue 0	466	18824		CS SRV [0, space=20]	Read	STATE_COMMON
	Compute Queue 0	466	18824		CS SRV [0, space=22]	Read	STATE_COMMON
	Compute Queue 0	466	18824		CS SRV [0, space=23]	Read	STATE_COMMON
	Compute Queue 0	466	20651		CS UAV [0, space=24]	Read/Write	STATE_COMMON
	Compute Queue 0	466	20651		CS UAV [0, space=26]	Read/Write	STATE_COMMON
	Compute Queue 0	467	20651		CS UAV [0, space=26]	Read/Write	STATE_COMMON
	Compute Queue 0	467	18824		CS SRV [0, space=14]	Read	STATE_COMMON
	Compute Queue 0	467	18824		CS SRV [0, space=15]	Read	STATE_COMMON
	Compute Queue 0	467	18824		CS SRV [0, space=17]	Read	STATE_COMMON
	Compute Queue 0	467	18824		CS SRV [0, space=18]	Read	STATE_COMMON
	Compute Queue 0	467	18824		CS SRV [0, space=19]	Read	STATE_COMMON
	Compute Queue 0	467	18824		CS SRV [0, space=20]	Read	STATE_COMMON
	Compute Queue 0	467	18824		CS SRV [0, space=22]	Read	STATE_COMMON
	Compute Queue 0	467	18824		CS SRV [0, space=23]	Read	STATE_COMMON
	Compute Queue 0	467	20651		CS UAV [0, space=24]	Read/Write	STATE_COMMON
	Compute Queue 0	625	18824		CS SRV [0, space=20]	Read	STATE_COMMON
	Compute Queue 0	629	18824		CS SRV [0, space=14]	Read	STATE_COMMON
	Graphics Queue 0	676	18824		CS SRV [0, space=21]	Read	STATE_COMMON
	Graphics Queue 0	676	18824		CS SRV [0, space=20]	Read	STATE_COMMON
	Graphics Queue 0	676	18824		CS SRV [0, space=22]	Read	STATE_COMMON
	Graphics Queue 0	676	20651		CS UAV [0, space=24]	Read/Write	STATE_COMMON
	Graphics Queue 0	678	18824		CS SRV [0, space=22]	Read	STATE_COMMON
