"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[22002]",,"3468","7334","0","-2.18278","-8.61253","0.2","24.1837","-0.00554657","-0.523438","0.851562","201","255"
"[22003]",,"3405","7334","0","-2.19163","-8.60864","0.2","24.1325","-0.621094","0.016037","0.783691","201","255"
"[22004]",,"3401","7334","0","-2.17287","-8.70278","0.2","24.1634","-0.00530624","-0.358887","0.933594","201","255"
"[22005]",,"3405","7335","0","-2.19163","-8.60864","0.2","24.1325","-0.621094","0.016037","0.783691","201","255"
"[22006]",,"3399","7335","0","-2.14946","-8.70879","0.2","24.1224","-0.674316","-0.522949","-0.521973","201","255"
"[22007]",,"3401","7335","0","-2.17287","-8.70278","0.2","24.1634","-0.00530624","-0.358887","0.933594","201","255"
"[22008]",,"3399","7336","0","-2.14946","-8.70879","0.2","24.1224","-0.674316","-0.522949","-0.521973","201","255"
"[22009]",,"3405","7336","0","-2.19163","-8.60864","0.2","24.1325","-0.621094","0.016037","0.783691","201","255"
"[22010]",,"3411","7336","0","-2.17494","-8.64412","0.2","24.1293","-0.415283","0.343262","-0.842773","201","255"
"[22011]",,"3412","7337","0","-2.13264","-8.96606","0.2","24.3114","-0.336182","-0.680176","-0.651367","201","255"
"[22012]",,"3342","7337","0","-2.10676","-8.86964","0.2","24.2795","-0.647949","-0.753906","0.105713","201","255"
"[22013]",,"3408","7337","0","-2.12725","-8.87568","0.2","24.3608","-0.340088","-0.93457","-0.102478","201","255"
"[22014]",,"3342","7338","0","-2.10676","-8.86964","0.2","24.2795","-0.647949","-0.753906","0.105713","201","255"
"[22015]",,"3412","7338","0","-2.13264","-8.96606","0.2","24.3114","-0.336182","-0.680176","-0.651367","201","255"
"[22016]",,"3341","7338","0","-2.11918","-8.92954","0.2","24.2749","-0.654297","0.157104","-0.739258","201","255"
"[22017]",,"3341","7339","0","-2.11918","-8.92954","0.2","24.2749","-0.654297","0.157104","-0.739258","201","255"
"[22018]",,"3407","7339","0","-2.13949","-8.74767","0.2","24.2556","-0.695312","-0.715332","0.0710449","201","255"
"[22019]",,"3342","7339","0","-2.10676","-8.86964","0.2","24.2795","-0.647949","-0.753906","0.105713","201","255"
"[22020]",,"3943","7340","0","1.35717","-8.31679","0.2","24.6818","-0.959473","-0.110229","0.259033","201","255"
"[22021]",,"3992","7340","0","1.43531","-8.28768","0.2","24.6525","-0.913086","-0.246094","0.325195","201","255"
"[22022]",,"4115","7340","0","1.50919","-8.42846","0.2","24.7457","-0.862305","-0.502441","-0.0639038","201","255"
"[22023]",,"3943","7341","0","1.35717","-8.31679","0.2","24.6818","-0.959473","-0.110229","0.259033","201","255"
"[22024]",,"4100","7341","0","1.35816","-8.09176","0.2","24.6562","-0.825684","0.394531","0.402832","201","255"
"[22025]",,"3992","7341","0","1.43531","-8.28768","0.2","24.6525","-0.913086","-0.246094","0.325195","201","255"
