"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[1448]",,"2679","482","0","-5.74602","-9.85113","0.2","25.7309","0.941895","-0.0620728","0.331055","201","255"
"[1449]",,"2680","483","0","-5.74665","-9.74956","0.2","25.6938","0.73584","0.334717","0.588867","201","255"
"[1450]",,"1622","483","0","-5.72637","-9.79652","0.2","25.7477","0.790527","0.0215149","0.611816","201","255"
"[1451]",,"1671","483","0","-5.73554","-9.71945","0.2","25.7043","0.67627","0.333252","0.656738","201","255"
"[1452]",,"1577","484","0","-5.75953","-9.67637","0.2","25.6178","0.248901","0.652344","0.716309","201","255"
"[1453]",,"2680","484","0","-5.74665","-9.74956","0.2","25.6938","0.73584","0.334717","0.588867","201","255"
"[1454]",,"1671","484","0","-5.73554","-9.71945","0.2","25.7043","0.67627","0.333252","0.656738","201","255"
"[1455]",,"2680","485","0","-5.74665","-9.74956","0.2","25.6938","0.73584","0.334717","0.588867","201","255"
"[1456]",,"1577","485","0","-5.75953","-9.67637","0.2","25.6178","0.248901","0.652344","0.716309","201","255"
"[1457]",,"1580","485","0","-5.79273","-9.79284","0.2","25.6242","0.26001","0.666016","0.699219","201","255"
"[1458]",,"3990","486","0","-5.53436","-9.99604","0.2","25.8089","0.895508","-0.437012","-0.0849609","201","255"
"[1459]",,"2030","486","0","-5.51627","-9.84632","0.2","25.8172","0.961426","-0.233521","-0.145508","201","255"
"[1460]",,"1845","486","0","-5.61608","-9.90434","0.2","25.8197","0.947266","-0.277588","-0.161377","201","255"
"[1461]",,"1843","487","0","-5.6072","-9.74671","0.2","25.8312","0.993164","-0.102478","-0.0576782","201","255"
"[1462]",,"1845","487","0","-5.61608","-9.90434","0.2","25.8197","0.947266","-0.277588","-0.161377","201","255"
"[1463]",,"2030","487","0","-5.51627","-9.84632","0.2","25.8172","0.961426","-0.233521","-0.145508","201","255"
