"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD_C0","TEXCOORD_C1","TEXCOORD1_C0","TEXCOORD1_C1","TEXCOORD1_C2","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD2_C3","TEXCOORD3_C0","TEXCOORD3_C1","TEXCOORD3_C2","TEXCOORD3_C3","TEXCOORD4"
"[31462]",,"3262","10487","0","-5.85065","-21.3423","0.2","23.5907","2.17578","0.195557","-5.73913","-21.0284","23.1035","-0.374756","0.90625","0.194458","1","-0.74707","-0.184204","-0.638672","-0.998047","196727"
"[31463]",,"3331","10487","0","-6.01529","-20.924","0.2","23.6227","2.1543","0.206787","-5.90958","-20.6263","23.1631","-0.279053","0.932129","0.22998","1","-0.824707","-0.101868","-0.556641","-0.984375","196727"
"[31464]",,"5014","10488","0","-5.78357","-21.1657","0.2","23.6415","2.17773","0.207642","-5.67459","-20.8581","23.1661","-0.516113","0.85498","0.0542603","1","-0.588867","-0.286621","-0.755859","-0.979492","196727"
"[31465]",,"3331","10488","0","-6.01529","-20.924","0.2","23.6227","2.1543","0.206787","-5.90958","-20.6263","23.1631","-0.279053","0.932129","0.22998","1","-0.824707","-0.101868","-0.556641","-0.984375","196727"
"[31466]",,"3262","10488","0","-5.85065","-21.3423","0.2","23.5907","2.17578","0.195557","-5.73913","-21.0284","23.1035","-0.374756","0.90625","0.194458","1","-0.74707","-0.184204","-0.638672","-0.998047","196727"
"[31467]",,"3331","10489","0","-6.01529","-20.924","0.2","23.6227","2.1543","0.206787","-5.90958","-20.6263","23.1631","-0.279053","0.932129","0.22998","1","-0.824707","-0.101868","-0.556641","-0.984375","196727"
"[31468]",,"5014","10489","0","-5.78357","-21.1657","0.2","23.6415","2.17773","0.207642","-5.67459","-20.8581","23.1661","-0.516113","0.85498","0.0542603","1","-0.588867","-0.286621","-0.755859","-0.979492","196727"
"[31469]",,"5169","10489","0","-5.92902","-20.8062","0.2","23.6598","2.15625","0.214966","-5.82481","-20.51","23.206","-0.512207","0.85498","0.0773926","1","-0.601074","-0.280273","-0.748047","-0.977539","196727"
"[31470]",,"3075","10490","0","-5.63335","-21.0047","0.2","23.6898","2.18164","0.219482","-5.52661","-20.6956","23.2175","-0.469238","0.871582","0.140991","1","-0.677734","-0.243896","-0.693359","-0.991699","196727"
"[31471]",,"5169","10490","0","-5.92902","-20.8062","0.2","23.6598","2.15625","0.214966","-5.82481","-20.51","23.206","-0.512207","0.85498","0.0773926","1","-0.601074","-0.280273","-0.748047","-0.977539","196727"
"[31472]",,"5014","10490","0","-5.78357","-21.1657","0.2","23.6415","2.17773","0.207642","-5.67459","-20.8581","23.1661","-0.516113","0.85498","0.0542603","1","-0.588867","-0.286621","-0.755859","-0.979492","196727"
"[31473]",,"5169","10491","0","-5.92902","-20.8062","0.2","23.6598","2.15625","0.214966","-5.82481","-20.51","23.206","-0.512207","0.85498","0.0773926","1","-0.601074","-0.280273","-0.748047","-0.977539","196727"
"[31474]",,"3075","10491","0","-5.63335","-21.0047","0.2","23.6898","2.18164","0.219482","-5.52661","-20.6956","23.2175","-0.469238","0.871582","0.140991","1","-0.677734","-0.243896","-0.693359","-0.991699","196727"
"[31475]",,"3088","10491","0","-5.83119","-20.6879","0.2","23.7162","2.16016","0.224609","-5.72803","-20.3946","23.2662","-0.512695","0.847168","0.139038","1","-0.621094","-0.246704","-0.744141","-0.977539","196727"
"[31476]",,"3135","10492","0","-6.25046","-21.2591","0.2","23.6211","2.14258","0.183228","-6.13794","-20.9714","23.1428","-0.664551","0.47583","-0.575684","1","0.306885","-0.527344","-0.79248","-0.387207","196727"
"[31477]",,"3861","10492","0","-6.32234","-20.7379","0.2","23.7392","2.12891","0.204712","-6.21559","-20.4779","23.2938","-0.474609","0.879395","0.0412292","1","-0.578613","-0.273193","-0.768555","-0.973633","196727"
"[31478]",,"3330","10492","0","-6.38981","-20.8454","0.2","23.6663","2.125","0.196533","-6.28277","-20.5756","23.2156","-0.647461","0.464111","-0.604004","1","0.343994","-0.523438","-0.779785","-0.349854","196727"
"[31479]",,"3861","10493","0","-6.32234","-20.7379","0.2","23.7392","2.12891","0.204712","-6.21559","-20.4779","23.2938","-0.474609","0.879395","0.0412292","1","-0.578613","-0.273193","-0.768555","-0.973633","196727"
"[31480]",,"3135","10493","0","-6.25046","-21.2591","0.2","23.6211","2.14258","0.183228","-6.13794","-20.9714","23.1428","-0.664551","0.47583","-0.575684","1","0.306885","-0.527344","-0.79248","-0.387207","196727"
