submesh,gpu_id,candidate,vertex_id,nearest_distance,reforward_error,world_x,world_y,world_z,local_x,local_y,local_z
Wing,GpuId7157,glb_primitive_seg_z16,2731,2.338468285,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.444510186,1.321109533,-0.393165049
Wing,GpuId7157,glb_primitive_seg_z16,595,2.330146245,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.577857345,0.788687014,-0.601321050
Wing,GpuId7157,glb_primitive_seg_z16,4626,2.330146245,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.577857345,0.788687014,-0.601321050
Wing,GpuId7157,glb_primitive_seg_z16,507,2.320556997,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.543649972,0.813138223,-0.568976701
Wing,GpuId7157,glb_primitive_seg_z16,603,2.320556997,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.543649972,0.813138223,-0.568976701
Wing,GpuId7157,glb_primitive_seg_z16,2718,2.320556997,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.543649972,0.813138223,-0.568976701
Wing,GpuId7157,glb_primitive_seg_z16,806,2.313427766,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.441873692,1.342457299,-0.366315093
Wing,GpuId7157,glb_primitive_seg_z16,4622,2.313427766,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.441873692,1.342457299,-0.366315093
Wing,GpuId7157,glb_primitive_seg_z16,4674,2.308864682,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.577022506,0.789267790,-0.601104892
Wing,GpuId7157,glb_primitive_seg_z16,460,2.304193106,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.443482575,1.322811716,-0.391441362
Wing,GpuId7157,glb_primitive_seg_z16,488,2.304193106,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.443482575,1.322811716,-0.391441362
Wing,GpuId7157,glb_primitive_seg_z16,4616,2.304193106,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.443482575,1.322811716,-0.391441362
Wing,GpuId7157,glb_primitive_seg_z16,748,2.295993479,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.548882766,0.809161947,-0.576377751
Wing,GpuId7157,glb_primitive_seg_z16,4620,2.295993479,0.000000000,-9.784543963,-17.128314907,30.433885142,-3.548882766,0.809161947,-0.576377751
