submesh,gpu_id,vertex_id,nearest_distance,reforward_error,world_x,world_y,world_z,local_x,local_y,local_z
Wing,GpuId7157,3963,11.083218085,0.000000000,-5.282161912,-30.292061086,30.022428225,5.893893546,-1.617394483,-2.694466262
Wing,GpuId7157,2971,11.080410118,0.000000000,-5.282161912,-30.292061086,30.022428225,5.896869885,-1.607958814,-2.703379974
Wing,GpuId7157,3658,11.080410118,0.000000000,-5.282161912,-30.292061086,30.022428225,5.896869885,-1.607958814,-2.703379974
Wing,GpuId7157,6587,11.030746996,0.000000000,-5.282161912,-30.292061086,30.022428225,5.895876144,-1.611108475,-2.700415382
Wing,GpuId7157,5561,11.012794444,0.000000000,-5.279018093,-30.054994038,30.040289671,5.812740967,-1.647376762,-2.639052112
Wing,GpuId7157,5068,11.010694238,0.000000000,-5.282161912,-30.292061086,30.022428225,5.894884029,-1.614253704,-2.697444141
Wing,GpuId7157,3434,10.990680038,0.000000000,-5.279018093,-30.054994038,30.040289671,5.812740967,-1.647376762,-2.639052112
Wing,GpuId7157,5084,10.990680038,0.000000000,-5.279018093,-30.054994038,30.040289671,5.812740967,-1.647376762,-2.639052112
Wing,GpuId7157,6589,10.974833985,0.000000000,-5.282161912,-30.292061086,30.022428225,5.895876144,-1.611108475,-2.700415382
Wing,GpuId7157,3026,10.958719569,0.000000000,-5.282161912,-30.292061086,30.022428225,5.894884029,-1.614253704,-2.697444141
Wing,GpuId7157,2970,10.948512954,0.000000000,-5.282161912,-30.292061086,30.022428225,5.895876144,-1.611108475,-2.700415382
Wing,GpuId7157,3663,10.948512954,0.000000000,-5.282161912,-30.292061086,30.022428225,5.895876144,-1.611108475,-2.700415382
Wing,GpuId7157,5565,10.941763056,0.000000000,-5.279018093,-30.054994038,30.040289671,5.808557378,-1.672451265,-2.612435419
Wing,GpuId7157,3753,10.919337598,0.000000000,-5.279018093,-30.054994038,30.040289671,5.808557378,-1.672451265,-2.612435419
Wing,GpuId7157,4932,10.919337598,0.000000000,-5.279018093,-30.054994038,30.040289671,5.808557378,-1.672451265,-2.612435419
Wing,GpuId7157,5562,10.912198923,0.000000000,-5.279018093,-30.054994038,30.040289671,5.823357089,-1.782796022,-2.476374530
Wing,GpuId7157,3122,10.892421495,0.000000000,-5.279018093,-30.054994038,30.040289671,5.814570350,-1.722186607,-2.553444017
Wing,GpuId7157,5560,10.881820987,0.000000000,-5.279018093,-30.054994038,30.040289671,5.814382103,-1.653906397,-2.631468519
Wing,GpuId7157,5788,10.877034085,0.000000000,-5.279018093,-30.054994038,30.040289671,5.820449341,-1.622860460,-2.663394207
Wing,GpuId7157,2812,10.870490559,0.000000000,-5.279018093,-30.054994038,30.040289671,5.823357089,-1.782796022,-2.476374530
Wing,GpuId7157,3750,10.870490559,0.000000000,-5.279018093,-30.054994038,30.040289671,5.823357089,-1.782796022,-2.476374530
Wing,GpuId7157,3433,10.859528636,0.000000000,-5.279018093,-30.054994038,30.040289671,5.813490055,-1.656692021,-2.628640886
Wing,GpuId7157,3843,10.851374107,0.000000000,-5.279018093,-30.054994038,30.040289671,5.814633292,-1.721683005,-2.554024589
Wing,GpuId7157,3890,10.851374107,0.000000000,-5.279018093,-30.054994038,30.040289671,5.814633292,-1.721683005,-2.554024589
Wing,GpuId7157,3889,10.831947446,0.000000000,-5.279018093,-30.054994038,30.040289671,5.863492996,-1.885585154,-2.323795243
Wing,GpuId7157,5579,10.828371914,0.000000000,-5.279018093,-30.054994038,30.040289671,5.879376509,-1.957510845,-2.207250102
Wing,GpuId7157,3970,10.795019621,0.000000000,-5.279018093,-30.054994038,30.040289671,5.865772839,-1.888532109,-2.318745513
Wing,GpuId7157,5128,10.795019621,0.000000000,-5.279018093,-30.054994038,30.040289671,5.865772839,-1.888532109,-2.318745513
Wing,GpuId7157,3185,10.794038548,0.000000000,-5.279018093,-30.054994038,30.040289671,5.816602619,-1.635088958,-2.651340759
Wing,GpuId7157,5791,10.791063391,0.000000000,-5.282161912,-30.292061086,30.022428225,5.888965827,-1.633030977,-2.679477680
Wing,GpuId7157,5569,10.783857404,0.000000000,-5.279018093,-30.054994038,30.040289671,5.865252039,-1.879378556,-2.332318205
Wing,GpuId7157,2701,10.753080153,0.000000000,-5.279018093,-30.054994038,30.040289671,5.865252039,-1.879378556,-2.332318205
Wing,GpuId7157,3752,10.753080153,0.000000000,-5.279018093,-30.054994038,30.040289671,5.865252039,-1.879378556,-2.332318205
Wing,GpuId7157,2810,10.738865120,0.000000000,-5.279018093,-30.054994038,30.040289671,5.887693038,-1.960943961,-2.198831752
Wing,GpuId7157,3846,10.738865120,0.000000000,-5.279018093,-30.054994038,30.040289671,5.887693038,-1.960943961,-2.198831752
Wing,GpuId7157,5786,10.722494170,0.000000000,-5.282161912,-30.292061086,30.022428225,5.889948058,-1.629912727,-2.682488584
Wing,GpuId7157,3226,10.708424309,0.000000000,-5.282161912,-30.292061086,30.022428225,5.887006376,-1.639253772,-2.673436168
