draw_vertex_id,stored_vertex_index,raw_u16_x,raw_u16_y,raw_u16_z,raw_u16_w,local_x,local_y,local_z,pix_world_x,pix_world_y,pix_world_z,pix_uv_u,pix_uv_v,pix_normal_x,pix_normal_y,pix_normal_z,pix_tangent_x,pix_tangent_y,pix_tangent_z,pix_tangent_w,pix_texcoord4,raw_hex_0_7,raw_hex_8_39
10,17128,14663,14525,19244,22967,-0.051489683,1.737291400,-1.503146639,-11.208900000,-10.870700000,27.677100000,0.441162000,0.960938000,-0.751465000,0.503418000,0.427246000,0.490967000,0.858398000,-0.148926000,0.902832000,196728,4739bd382c4bb759,2af53b046334b208667c91097a3f18160e090000ffffffffda534e324d1fd6cf
11,17129,14745,14529,19331,22952,-0.047682931,1.737535211,-1.493476170,-11.283400000,-10.949800000,27.749200000,0.455566000,0.943359000,0.152466000,0.986328000,0.063537600,0.736328000,-0.065368700,-0.673340000,0.282959000,196728,9939c138834ba859,e1cc6e688f24420964dc810887411d1204040000ffffffff1d52b4356f1c60e7
12,17130,14646,14550,19181,22984,-0.052278888,1.738815217,-1.510149393,-11.262300000,-10.838800000,27.866400000,0.480469000,0.954102000,-0.628418000,0.524414000,0.574219000,0.683594000,0.725098000,0.085327100,0.988770000,196728,3639d638ed4ac859,03292c05637cb1088d98c108914b0e0907050000ffffffffac53c636c31e48ec
13,17131,14679,14502,19315,22953,-0.050746902,1.735889489,-1.495254647,-10.889000000,-10.793700000,27.293800000,0.326172000,0.965820000,-0.731445000,0.674316000,-0.101685000,0.649902000,0.644043000,-0.403564000,0.795898000,196728,5739a638734ba959,228dcc458d6462066324a209574b27230a0a0000ffffffff1754d82f061f7cd2
14,17132,14768,14554,19352,22959,-0.046615183,1.739059028,-1.491141918,-11.256600000,-10.803400000,27.884900000,0.484863000,0.957520000,-0.641602000,0.493164000,0.587891000,0.695312000,0.701660000,0.155029000,0.996582000,131192,b039da38984baf59,cdb05d6c943c4206893852077744330706030000ffffffffc7523e36f21cf0e4
15,17133,14650,14536,19238,22977,-0.052093193,1.737961880,-1.503813568,-11.200200000,-11.017200000,27.697900000,0.437500000,0.934082000,0.844238000,0.534668000,-0.038177500,0.532715000,-0.844238000,-0.060821500,-0.263428000,196728,3a39c838264bc159,e5584d08637cd1088b98c1088030231312070000ffffffff38512835141c50e5
16,17134,14646,14564,19103,22989,-0.052278888,1.739668554,-1.518819469,-11.233700000,-10.984900000,27.682700000,0.439453000,0.941406000,0.710449000,0.698242000,-0.087951700,0.696289000,-0.714844000,-0.064025900,-0.063659700,196728,3639e4389f4acd59,f27c1c06637cb1088630d2088954100b04020000ffffffffa55025331d1d28e4
17,17135,14701,14569,19054,22979,-0.049725578,1.739973318,-1.524266055,-11.256800000,-10.923900000,27.679800000,0.442871000,0.948730000,-0.149780000,0.983887000,0.097717300,0.923828000,0.173706000,-0.340820000,0.654785000,196728,6d39e9386e4ac359,9dcced5a89207208863c4206694b230e0d0d0000ffffffff3d516a33741d08d5
18,17136,14705,14561,19105,22974,-0.049539883,1.739485696,-1.518597159,-11.277200000,-10.991500000,27.790600000,0.461426000,0.937012000,0.632812000,0.750488000,-0.190918000,0.615723000,-0.637695000,-0.462402000,-0.155273000,196728,7139e138a14abe59,bd449f5f8920f208879061087f4b1c0d08040000ffffffffcd56d929e21f80ec
19,17137,14858,14579,19522,22956,-0.042437040,1.740582844,-1.472245599,-10.726900000,-10.643700000,27.035600000,0.259766000,0.966309000,-0.783691000,0.589355000,-0.196533000,0.621094000,0.756836000,-0.204590000,0.904785000,196728,0a3af338424cac59,20bd7d517538620794d0c107643d1c1b1a0d0000fffffeffac50d7322f1d28e9
