submesh,gpu_id,vertex_id,error_exact,error_translation_only,error_affine,late_x,late_y,late_z,pix_x,pix_y,pix_z
Wing,GpuId7157,5121,0.320526057,0.453713954,0.431793982,-6.633130074,-2.801032066,2.140632629,-9.689970000,-17.446100000,34.206300000
Wing,GpuId7157,5871,0.372115125,0.506960630,0.431689336,9.010111809,-6.405802727,0.358380318,-2.270040000,-25.295100000,20.469400000
Wing,GpuId7157,4047,0.311810633,0.448210603,0.427171784,-6.556942463,-2.570029020,2.351333380,-9.459750000,-17.040300000,34.234500000
Wing,GpuId7157,4785,0.316916986,0.445752685,0.422500628,-6.621523380,-3.061636209,1.951958895,-9.849670000,-17.925100000,34.125700000
Wing,GpuId7157,45,0.314490970,0.445821399,0.422498891,-6.536933899,-2.905345440,2.203563929,-9.588050000,-17.641700000,34.186000000
Wing,GpuId7157,734,0.315400685,0.446689801,0.422496125,-7.035496712,-3.135294437,2.326624632,-9.777840000,-17.981200000,34.665300000
Wing,GpuId7157,2634,0.315400685,0.446689801,0.422496125,-7.035496712,-3.135294437,2.326624632,-9.777840000,-17.981200000,34.665300000
Wing,GpuId7157,253,0.320185156,0.454286059,0.422320419,-8.911334038,-5.991328716,1.202579021,-11.721900000,-22.799200000,35.709200000
Wing,GpuId7157,3548,0.364561196,0.497738702,0.422252009,8.935898781,-6.470544338,0.372193813,-2.292690000,-25.413000000,20.528600000
Wing,GpuId7157,4318,0.321266178,0.452390544,0.420036569,-8.882461548,-5.428903580,1.919075727,-11.151300000,-21.787200000,36.070000000
Wing,GpuId7157,4589,0.303536062,0.438440095,0.417758915,-6.455884933,-2.632774830,2.075777292,-9.627650000,-17.189200000,34.006100000
Wing,GpuId7157,2198,0.308103958,0.439661559,0.417251427,-6.324028969,-2.744845390,2.131312132,-9.523360000,-17.395700000,33.957700000
Wing,GpuId7157,5861,0.353922939,0.489132709,0.415380071,8.963269234,-6.024708271,0.592383385,-2.109520000,-24.631000000,20.626700000
Wing,GpuId7157,4779,0.313712772,0.440144170,0.414367295,-7.366194248,-3.473604202,2.246724129,-10.050100000,-18.553200000,34.919700000
Wing,GpuId7157,737,0.307564011,0.433844499,0.409979123,-6.579321861,-3.098443031,1.968508959,-9.817700000,-18.006900000,34.111800000
Wing,GpuId7157,4782,0.294785069,0.428138015,0.407924573,-6.369995594,-2.663666964,1.840450764,-9.772490000,-17.279400000,33.807300000
Wing,GpuId7157,2596,0.311851030,0.441113835,0.407781168,-8.824170113,-5.489286900,1.951642990,-11.096600000,-21.908400000,36.055000000
Wing,GpuId7157,5283,0.305113558,0.437619124,0.405750229,-8.782013893,-5.577822208,1.624568462,-11.317200000,-22.086500000,35.823000000
Wing,GpuId7157,5870,0.345645539,0.479923291,0.405522901,9.125617981,-5.814279556,0.967472553,-1.717830000,-24.268700000,20.690600000
Wing,GpuId7157,2741,0.345235329,0.478251345,0.403472949,9.070816994,-5.866766930,1.029293060,-1.694280000,-24.355400000,20.762900000
Wing,GpuId7157,424,0.302141390,0.433124229,0.400247085,-8.719959259,-5.638315201,1.663536787,-11.256500000,-22.200800000,35.808100000
Wing,GpuId7157,2827,0.339609706,0.473326426,0.399076978,8.901395798,-6.093614578,0.651919842,-2.089710000,-24.759300000,20.707100000
Wing,GpuId7157,735,0.299381675,0.424475337,0.398252339,-7.358225346,-3.488341331,2.299422979,-10.002800000,-18.592300000,34.946000000
Wing,GpuId7157,2635,0.299381675,0.424475337,0.398252339,-7.358225346,-3.488341331,2.299422979,-10.002800000,-18.592300000,34.946000000
Wing,GpuId7157,5333,0.294502732,0.428192152,0.397142440,-8.696403503,-5.734218597,1.248920441,-11.559200000,-22.398400000,35.541600000
Wing,GpuId7157,450,0.296264707,0.428724262,0.396701912,-8.641559601,-5.796394825,1.285221577,-11.505400000,-22.509800000,35.530200000
Wing,GpuId7157,607,0.296555854,0.421656981,0.396642366,-6.894675732,-3.331182957,2.026963711,-9.950090000,-18.387200000,34.416200000
Wing,GpuId7157,5104,0.292328157,0.419170310,0.393654879,-7.369658470,-3.373149633,2.357447863,-9.955910000,-18.390300000,34.970800000
Wing,GpuId7157,5851,0.329465225,0.463908787,0.390426629,8.757844925,-6.243527412,0.326745510,-2.430330000,-25.033100000,20.657900000
Wing,GpuId7157,4777,0.288150974,0.414371736,0.389832247,-6.931549549,-3.292737246,2.016206264,-9.973570000,-18.322800000,34.430900000
Wing,GpuId7157,650,0.289454990,0.415391675,0.389454941,-7.356135845,-3.401058674,2.383061409,-9.929290000,-18.442900000,34.980100000
Wing,GpuId7157,738,0.289454990,0.415391675,0.389454941,-7.356135845,-3.401058674,2.383061409,-9.929290000,-18.442900000,34.980100000
Wing,GpuId7157,5099,0.279978866,0.410756729,0.386346969,-7.102398872,-3.165954113,2.360544443,-9.777800000,-18.059800000,34.741200000
Wing,GpuId7157,3473,0.323248216,0.457610403,0.384732910,8.924801826,-5.695779800,0.902057171,-1.880100000,-24.069000000,20.817900000
Wing,GpuId7157,3308,0.323311203,0.456510566,0.383244430,8.875715256,-5.743972778,0.966042519,-1.852480000,-24.147600000,20.887800000
Wing,GpuId7157,4509,0.270202145,0.401907984,0.382041708,-6.266572475,-2.658290625,1.683766603,-9.838810000,-17.318300000,33.635400000
Wing,GpuId7157,3581,0.321904697,0.454574348,0.380698440,8.695247650,-6.310042381,0.380264759,-2.415830000,-25.152100000,20.732400000
Wing,GpuId7157,4367,0.281173328,0.411584727,0.380380910,-8.662089348,-5.288560390,1.753076077,-11.149400000,-21.617200000,35.783200000
Body_02,GpuId7153,1284,0.527374831,0.382981761,0.375966273,-0.822923422,1.673098087,-0.899751782,-8.793730000,-11.315900000,27.372800000
Wing,GpuId7157,3474,0.312539688,0.447757919,0.375520646,8.772725105,-5.903633118,0.529658794,-2.262300000,-24.445600000,20.753400000
Wing,GpuId7157,4784,0.277555405,0.401215807,0.375353277,-7.191191196,-3.526908875,2.062964201,-10.088300000,-18.714700000,34.685900000
Wing,GpuId7157,5362,0.270934991,0.402652577,0.371670900,-8.551179886,-5.443688869,1.492471457,-11.285400000,-21.920700000,35.549300000
Wing,GpuId7157,466,0.275205547,0.403130690,0.370673988,-8.584025383,-5.358375072,1.803841114,-11.071100000,-21.753200000,35.765400000
Body_02,GpuId7153,766,0.519572268,0.375464120,0.369594786,-0.719131947,1.449443340,-1.014140844,-8.836390000,-11.711500000,27.232200000
Body_02,GpuId7153,774,0.519372583,0.375285742,0.369419817,-0.748082876,1.434380293,-1.017088056,-8.855720000,-11.734600000,27.254900000
Body_02,GpuId7153,772,0.519174497,0.375063873,0.369169510,-0.714289665,1.449612021,-1.022779703,-8.840400000,-11.711900000,27.223300000
Body_02,GpuId7153,767,0.518997100,0.374877449,0.368900780,-0.725730658,1.461552620,-1.018290281,-8.842900000,-11.689700000,27.234500000
Wing,GpuId7157,5269,0.266877915,0.391181637,0.368793576,-6.393435001,-3.083385706,1.562749863,-10.025100000,-18.069000000,33.726500000
Body_02,GpuId7153,763,0.518855619,0.374728924,0.368740537,-0.704445839,1.469632745,-1.022639632,-8.834270000,-11.678000000,27.214300000
Body_02,GpuId7153,768,0.518719935,0.374603644,0.368653868,-0.716478109,1.455447197,-1.026016712,-8.843950000,-11.701400000,27.222900000
Body_02,GpuId7153,773,0.518719935,0.374603644,0.368653868,-0.716478109,1.455447197,-1.026016712,-8.843950000,-11.701400000,27.222900000
Body_02,GpuId7153,786,0.518621549,0.374517007,0.368515816,-0.751355886,1.452166796,-1.021840096,-8.860690000,-11.703200000,27.253900000
Body_02,GpuId7153,779,0.518179036,0.374118213,0.368194906,-0.786437511,1.419190288,-1.028548717,-8.886980000,-11.756600000,27.280200000
Wing,GpuId7157,2205,0.264249350,0.390418281,0.367871202,-6.204934120,-2.816541910,1.911223888,-9.634100000,-17.600300000,33.751500000
Body_02,GpuId7153,771,0.517795967,0.373717432,0.367798116,-0.738135099,1.434143782,-1.035902500,-8.865090000,-11.735700000,27.235800000
Body_02,GpuId7153,770,0.517552144,0.373451786,0.367426274,-0.741135836,1.450043082,-1.036291599,-8.866400000,-11.707800000,27.237300000
Body_02,GpuId7153,781,0.517552144,0.373451786,0.367426274,-0.741135836,1.450043082,-1.036291599,-8.866400000,-11.707800000,27.237300000
Body_02,GpuId7153,778,0.517372178,0.373283203,0.367198000,-0.785289764,1.444264054,-1.031314850,-8.887470000,-11.712900000,27.276300000
Body_02,GpuId7153,782,0.516131475,0.372072687,0.366077515,-0.765433073,1.422300816,-1.053729177,-8.894950000,-11.753000000,27.248300000
Body_02,GpuId7153,777,0.516307052,0.372212258,0.366074666,-0.762073040,1.450709343,-1.048685670,-8.888010000,-11.704200000,27.247100000
Body_02,GpuId7153,785,0.516307052,0.372212258,0.366074666,-0.762073040,1.450709343,-1.048685670,-8.888010000,-11.704200000,27.247100000
Wing,GpuId7157,4365,0.262897626,0.396061706,0.365972559,-8.478613853,-5.590726376,1.126691341,-11.527200000,-22.211600000,35.283200000
Head,GpuId7158,4269,0.530937546,0.386779854,0.365755486,-2.421849251,1.971656442,-2.681056976,-11.055000000,-10.772500000,27.645300000
Wing,GpuId7157,3137,0.304521458,0.438398033,0.365534539,8.716612816,-5.966649055,0.618138790,-2.217150000,-24.555500000,20.845100000
Body,GpuId7155,1685,0.515854766,0.371774207,0.365529264,-0.820611954,1.445082068,-1.046156645,-8.919280000,-11.707500000,27.296500000
Body_02,GpuId7153,780,0.515816115,0.371736780,0.365491549,-0.820674658,1.445055723,-1.046159029,-8.919320000,-11.707500000,27.296500000
Head,GpuId7158,4261,0.530716747,0.386549608,0.365400055,-2.425233603,1.978459001,-2.697350979,-11.070100000,-10.761300000,27.638700000
Head,GpuId7158,4271,0.530421831,0.386269513,0.365336079,-2.417770147,1.951650620,-2.691483974,-11.061000000,-10.807700000,27.636700000
Head,GpuId7158,4959,0.530421831,0.386269513,0.365336079,-2.417770147,1.951650620,-2.691483974,-11.061000000,-10.807700000,27.636700000
Head,GpuId7158,4407,0.530490476,0.386330328,0.365259807,-2.423704624,1.960053325,-2.706698895,-11.076600000,-10.793700000,27.632700000
