submesh,gpu_id,vertex_id,stage1_direct_error,stage1_affine_error,u76_affine_error,local_x,local_y,local_z,stage1_world_x,stage1_world_y,stage1_world_z,stage1_affine_x,stage1_affine_y,stage1_affine_z,u76_affine_x,u76_affine_y,u76_affine_z,pix_world_x,pix_world_y,pix_world_z,codes,weights
Wing,GpuId7157,989,38.775344485,1.095630675,2.985485889,-5.450773470,1.670183188,3.508789647,-11.297189912,-4.424270333,3.789062486,-10.385178399,-20.303977861,38.478623853,-10.587867087,-18.468970384,38.024878714,-10.090500000,-21.344000000,38.657300000,60 61 62 63 0 0,214 32 5 5 0 0
Wing,GpuId7157,5069,27.758731327,1.095488093,2.609978885,5.444932051,1.616300787,3.614739895,12.312488372,-4.071974334,3.110109240,1.517932510,-22.103673975,20.120780258,1.115879236,-20.620637205,20.294937677,1.813600000,-23.135200000,20.341300000,79 76 77 0 0 0,218 32 6 0 0 0
Wing,GpuId7157,0,38.699084579,1.094880607,2.931783109,-5.404528908,1.665291921,3.509761668,-11.254917641,-4.359965721,3.840869356,-10.322942633,-20.186172548,38.469840254,-10.508511009,-18.403899312,38.014138103,-10.029800000,-21.225600000,38.649900000,60 61 62 63 0 0,214 32 5 5 0 0
Wing,GpuId7157,184,38.699084579,1.094880607,2.931783109,-5.404528908,1.665291921,3.509761668,-11.254917641,-4.359965721,3.840869356,-10.322942633,-20.186172548,38.469840254,-10.508511009,-18.403899312,38.014138103,-10.029800000,-21.225600000,38.649900000,60 61 62 63 0 0,214 32 5 5 0 0
Wing,GpuId7157,665,38.699084579,1.094880607,2.931783109,-5.404528908,1.665291921,3.509761668,-11.254917641,-4.359965721,3.840869356,-10.322942633,-20.186172548,38.469840254,-10.508511009,-18.403899312,38.014138103,-10.029800000,-21.225600000,38.649900000,60 61 62 63 0 0,214 32 5 5 0 0
Wing,GpuId7157,940,38.699084579,1.094880607,2.931783109,-5.404528908,1.665291921,3.509761668,-11.254917641,-4.359965721,3.840869356,-10.322942633,-20.186172548,38.469840254,-10.508511009,-18.403899312,38.014138103,-10.029800000,-21.225600000,38.649900000,60 61 62 63 0 0,214 32 5 5 0 0
Wing,GpuId7157,5074,27.816311984,1.093085435,2.575541065,5.450286685,1.660086777,3.574303837,12.277672769,-4.045276367,2.996827971,1.408621632,-22.063194012,20.081797836,1.008738495,-20.614010215,20.291897315,1.707320000,-23.093000000,20.294200000,79 76 77 0 0 0,218 32 5 0 0 0
Wing,GpuId7157,3159,38.692599395,1.092787053,2.894762684,-5.395279996,1.759795375,3.424418257,-11.197896378,-4.214842346,3.643895447,-10.453141597,-19.948331262,38.304197833,-10.570216588,-18.206882594,37.794247481,-10.172400000,-20.986600000,38.497500000,60 61 62 63 0 0,212 32 7 5 0 0
Wing,GpuId7157,2692,27.770418431,1.092493565,2.523590867,5.420106024,1.650278087,3.574498241,12.252355880,-4.005302411,3.038817072,1.427902511,-21.983788091,20.121016827,1.034494452,-20.586232433,20.344576384,1.726020000,-23.013200000,20.333100000,79 76 77 0 0 0,218 31 5 0 0 0
Wing,GpuId7157,244,38.729686404,1.092401434,2.946582223,-5.428868151,1.657601909,3.508595243,-11.266067206,-4.407037294,3.824730065,-10.340681558,-20.272182394,38.473366254,-10.540463006,-18.472000796,38.026824868,-10.046000000,-21.309100000,38.650300000,60 61 62 63 0 0,214 32 5 5 0 0
Wing,GpuId7157,2516,38.729686404,1.092401434,2.946582223,-5.428868151,1.657601909,3.508595243,-11.266067206,-4.407037294,3.824730065,-10.340681558,-20.272182394,38.473366254,-10.540463006,-18.472000796,38.026824868,-10.046000000,-21.309100000,38.650300000,60 61 62 63 0 0,214 32 5 5 0 0
